pr_date,age_group,count_of_case
2021-09-13,70+ years old,82
2021-09-14,70+ years old,81
2021-09-15,70+ years old,111
2021-09-16,70+ years old,96
2021-09-17,70+ years old,105
2021-09-18,70+ years old,115
2021-09-19,70+ years old,139
2021-09-20,70+ years old,92
2021-09-21,70+ years old,139
2021-09-22,70+ years old,146
2021-09-23,70+ years old,137
2021-09-24,70+ years old,152
2021-09-25,70+ years old,113
2021-09-26,70+ years old,178
2021-09-27,70+ years old,139
2021-09-28,70+ years old,201
2021-09-29,70+ years old,216
2021-09-30,70+ years old,243
2021-10-01,70+ years old,214
2021-10-02,70+ years old,208
2021-10-03,70+ years old,193
2021-10-04,70+ years old,194
2021-10-05,70+ years old,254
2021-10-06,70+ years old,288
2021-10-07,70+ years old,253
2021-10-08,70+ years old,228
2021-10-09,70+ years old,248
2021-10-10,70+ years old,195
2021-09-13,61 - 70 years old,75
2021-09-14,61 - 70 years old,150
2021-09-15,61 - 70 years old,127
2021-09-16,61 - 70 years old,148
2021-09-17,61 - 70 years old,136
2021-09-18,61 - 70 years old,144
2021-09-19,61 - 70 years old,182
2021-09-20,61 - 70 years old,138
2021-09-21,61 - 70 years old,172
2021-09-22,61 - 70 years old,243
2021-09-23,61 - 70 years old,206
2021-09-24,61 - 70 years old,239
2021-09-25,61 - 70 years old,166
2021-09-26,61 - 70 years old,238
2021-09-27,61 - 70 years old,196
2021-09-28,61 - 70 years old,282
2021-09-29,61 - 70 years old,294
2021-09-30,61 - 70 years old,292
2021-10-01,61 - 70 years old,341
2021-10-02,61 - 70 years old,305
2021-10-03,61 - 70 years old,237
2021-10-04,61 - 70 years old,207
2021-10-05,61 - 70 years old,388
2021-10-06,61 - 70 years old,376
2021-10-07,61 - 70 years old,354
2021-10-08,61 - 70 years old,391
2021-10-09,61 - 70 years old,363
2021-10-10,61 - 70 years old,253
2021-09-13,40 - 60 years old,206
2021-09-14,40 - 60 years old,273
2021-09-15,40 - 60 years old,271
2021-09-16,40 - 60 years old,272
2021-09-17,40 - 60 years old,308
2021-09-18,40 - 60 years old,308
2021-09-19,40 - 60 years old,285
2021-09-20,40 - 60 years old,265
2021-09-21,40 - 60 years old,351
2021-09-22,40 - 60 years old,436
2021-09-23,40 - 60 years old,420
2021-09-24,40 - 60 years old,478
2021-09-25,40 - 60 years old,378
2021-09-26,40 - 60 years old,513
2021-09-27,40 - 60 years old,437
2021-09-28,40 - 60 years old,583
2021-09-29,40 - 60 years old,564
2021-09-30,40 - 60 years old,661
2021-10-01,40 - 60 years old,657
2021-10-02,40 - 60 years old,663
2021-10-03,40 - 60 years old,595
2021-10-04,40 - 60 years old,599
2021-10-05,40 - 60 years old,992
2021-10-06,40 - 60 years old,996
2021-10-07,40 - 60 years old,1009
2021-10-08,40 - 60 years old,991
2021-10-09,40 - 60 years old,1016
2021-10-10,40 - 60 years old,782
2021-09-13,19 - 39 years old,151
2021-09-14,19 - 39 years old,214
2021-09-15,19 - 39 years old,193
2021-09-16,19 - 39 years old,222
2021-09-17,19 - 39 years old,227
2021-09-18,19 - 39 years old,268
2021-09-19,19 - 39 years old,226
2021-09-20,19 - 39 years old,242
2021-09-21,19 - 39 years old,276
2021-09-22,19 - 39 years old,342
2021-09-23,19 - 39 years old,336
2021-09-24,19 - 39 years old,381
2021-09-25,19 - 39 years old,294
2021-09-26,19 - 39 years old,467
2021-09-27,19 - 39 years old,387
2021-09-28,19 - 39 years old,508
2021-09-29,19 - 39 years old,554
2021-09-30,19 - 39 years old,615
2021-10-01,19 - 39 years old,642
2021-10-02,19 - 39 years old,584
2021-10-03,19 - 39 years old,484
2021-10-04,19 - 39 years old,618
2021-10-05,19 - 39 years old,896
2021-10-06,19 - 39 years old,961
2021-10-07,19 - 39 years old,911
2021-10-08,19 - 39 years old,954
2021-10-09,19 - 39 years old,941
2021-10-10,19 - 39 years old,722
2021-09-13,12 - 18 years old,8
2021-09-14,12 - 18 years old,13
2021-09-15,12 - 18 years old,19
2021-09-16,12 - 18 years old,23
2021-09-17,12 - 18 years old,23
2021-09-18,12 - 18 years old,22
2021-09-19,12 - 18 years old,24
2021-09-20,12 - 18 years old,23
2021-09-21,12 - 18 years old,30
2021-09-22,12 - 18 years old,25
2021-09-23,12 - 18 years old,34
2021-09-24,12 - 18 years old,24
2021-09-25,12 - 18 years old,35
2021-09-26,12 - 18 years old,44
2021-09-27,12 - 18 years old,41
2021-09-28,12 - 18 years old,42
2021-09-29,12 - 18 years old,47
2021-09-30,12 - 18 years old,72
2021-10-01,12 - 18 years old,63
2021-10-02,12 - 18 years old,59
2021-10-03,12 - 18 years old,45
2021-10-04,12 - 18 years old,80
2021-10-05,12 - 18 years old,56
2021-10-06,12 - 18 years old,86
2021-10-07,12 - 18 years old,84
2021-10-08,12 - 18 years old,84
2021-10-09,12 - 18 years old,101
2021-10-10,12 - 18 years old,54
2021-09-13,0 - 11 years old,11
2021-09-14,0 - 11 years old,25
2021-09-15,0 - 11 years old,49
2021-09-16,0 - 11 years old,42
2021-09-17,0 - 11 years old,39
2021-09-18,0 - 11 years old,70
2021-09-19,0 - 11 years old,64
2021-09-20,0 - 11 years old,72
2021-09-21,0 - 11 years old,71
2021-09-22,0 - 11 years old,85
2021-09-23,0 - 11 years old,86
2021-09-24,0 - 11 years old,95
2021-09-25,0 - 11 years old,67
2021-09-26,0 - 11 years old,97
2021-09-27,0 - 11 years old,79
2021-09-28,0 - 11 years old,97
2021-09-29,0 - 11 years old,136
2021-09-30,0 - 11 years old,139
2021-10-01,0 - 11 years old,160
2021-10-02,0 - 11 years old,119
2021-10-03,0 - 11 years old,122
2021-10-04,0 - 11 years old,161
2021-10-05,0 - 11 years old,182
2021-10-06,0 - 11 years old,226
2021-10-07,0 - 11 years old,173
2021-10-08,0 - 11 years old,177
2021-10-09,0 - 11 years old,199
2021-10-10,0 - 11 years old,170
